order_id,customer_id,order_date,product_category,order_amount,discount_used,is_high_value_item,platform,device_type,payment_method,shipping_carrier,tracking_number_valid,address_change_before_delivery
ORD000036,CUST00007,2025-05-10,Sports,73.36,0,0,Tablet App,MacBook,Credit Card,UPS,1,0
ORD000037,CUST00007,2024-04-11,Furniture,106.05,1,0,Mobile App,iPad,Debit Card,OnTrac,1,0
ORD000038,CUST00008,2024-03-08,Tools,47.34,1,0,Web Browser,Windows PC,PayPal,FedEx,0,0
ORD000039,CUST00008,2025-07-10,Shoes,10.91,0,0,Tablet App,Windows PC,Gift Card,FedEx,1,0
ORD000040,CUST00008,2024-07-06,Jewelry,124.47,0,0,Tablet App,iPhone,Crypto,FedEx,1,0
ORD000041,CUST00008,2025-08-19,Jewelry,5.0,0,0,Tablet App,iPad,Credit Card,OnTrac,1,0
ORD000042,CUST00008,2025-01-31,Shoes,5.0,1,0,Tablet App,iPad,PayPal,USPS,1,0
ORD000043,CUST00008,2024-12-23,Sports,32.05,0,0,Mobile App,MacBook,Crypto,OnTrac,1,0
ORD000044,CUST00009,2024-10-25,Tools,128.24,1,0,Web Browser,MacBook,PayPal,DHL,0,1
ORD000045,CUST00009,2024-08-28,Home & Kitchen,70.26,0,0,Web Browser,Android,Crypto,OnTrac,1,0
ORD000046,CUST00009,2024-11-01,Shoes,80.47,0,0,Web Browser,iPhone,Debit Card,DHL,1,0
ORD000047,CUST00009,2024-05-07,Shoes,61.17,0,0,Mobile App,MacBook,Crypto,OnTrac,1,0
ORD000048,CUST00009,2024-03-04,Furniture,225.25,0,0,Mobile App,iPhone,Crypto,FedEx,1,0
ORD000049,CUST00010,2025-03-11,Home & Kitchen,158.28,0,0,Mobile App,iPhone,Debit Card,USPS,1,0
ORD000050,CUST00010,2025-08-06,Toys,172.57,0,0,Tablet App,iPhone,PayPal,USPS,1,0
ORD000051,CUST00010,2024-08-02,Jewelry,172.26,0,0,Web Browser,Android,PayPal,OnTrac,1,0
ORD000052,CUST00011,2024-04-01,Books,181.39,1,0,Mobile App,iPhone,PayPal,UPS,1,0
ORD000053,CUST00011,2024-08-09,Tools,116.38,0,0,Tablet App,Android,PayPal,UPS,1,0
ORD000054,CUST00012,2025-06-01,Tools,150.32,0,0,Tablet App,iPad,Debit Card,FedEx,1,0
ORD000055,CUST00012,2024-12-29,Home & Kitchen,212.6,1,0,Web Browser,Windows PC,Crypto,UPS,1,0
ORD000056,CUST00013,2024-07-28,Shoes,63.07,0,0,Web Browser,iPad,Gift Card,DHL,1,0
ORD000057,CUST00014,2024-02-13,Jewelry,175.72,0,0,Tablet App,iPad,Buy Now Pay Later,USPS,1,0
ORD000058,CUST00014,2025-04-03,Furniture,117.56,0,0,Tablet App,Android,Buy Now Pay Later,USPS,1,0
ORD000059,CUST00014,2024-11-17,Clothing,85.97,0,0,Tablet App,iPad,Crypto,DHL,1,0
ORD000060,CUST00014,2025-04-06,Beauty,87.02,0,0,Tablet App,iPad,Credit Card,OnTrac,1,0
ORD000061,CUST00014,2024-12-30,Beauty,170.94,1,0,Web Browser,Windows PC,PayPal,UPS,1,0
ORD000062,CUST00014,2025-02-23,Jewelry,181.42,0,0,Web Browser,iPad,Gift Card,DHL,1,0
ORD000063,CUST00015,2024-03-25,Shoes,167.91,0,0,Mobile App,Android,Credit Card,OnTrac,1,0
ORD000064,CUST00015,2024-03-20,Jewelry,259.86,0,0,Web Browser,iPhone,Crypto,DHL,1,0
ORD000065,CUST00015,2024-07-18,Tools,72.38,1,0,Tablet App,Android,Debit Card,UPS,1,0
ORD000066,CUST00015,2024-10-02,Grocery,60.09,0,0,Mobile App,Windows PC,Buy Now Pay Later,DHL,1,0
ORD000067,CUST00015,2024-09-04,Electronics,153.44,0,0,Web Browser,Android,Debit Card,FedEx,1,0
ORD000068,CUST00015,2025-07-21,Shoes,10.4,0,0,Tablet App,iPad,Credit Card,FedEx,1,0
ORD000069,CUST00016,2025-03-30,Books,55.35,0,0,Tablet App,iPhone,Credit Card,USPS,1,0
ORD000070,CUST00016,2024-07-28,Furniture,351.45,0,1,Mobile App,iPhone,PayPal,UPS,1,0
ORD000071,CUST00016,2024-05-02,Home & Kitchen,117.34,1,0,Web Browser,Android,Buy Now Pay Later,FedEx,1,0
ORD000072,CUST00017,2025-01-16,Clothing,149.36,1,0,Tablet App,iPhone,Crypto,DHL,1,0
ORD000073,CUST00017,2024-06-06,Toys,238.5,0,0,Web Browser,iPad,PayPal,FedEx,1,0
ORD000074,CUST00018,2024-04-30,Tools,214.98,0,0,Tablet App,Android,Gift Card,DHL,1,0
ORD000075,CUST00018,2025-07-17,Jewelry,123.22,1,0,Web Browser,iPhone,Debit Card,DHL,1,0
ORD000076,CUST00018,2024-11-03,Furniture,126.16,0,0,Mobile App,Android,Debit Card,DHL,1,0
ORD000077,CUST00018,2024-09-02,Home & Kitchen,227.02,0,0,Mobile App,Windows PC,Gift Card,USPS,1,0
ORD000078,CUST00018,2024-01-10,Electronics,5.0,1,0,Web Browser,iPad,Debit Card,DHL,1,0
ORD000079,CUST00019,2025-04-29,Home & Kitchen,186.29,1,0,Mobile App,MacBook,Credit Card,OnTrac,1,0
ORD000080,CUST00019,2024-02-29,Toys,177.04,0,0,Tablet App,Android,Crypto,DHL,1,0
ORD000081,CUST00019,2025-08-05,Clothing,37.85,0,0,Web Browser,Android,Crypto,UPS,1,0
ORD000082,CUST00019,2024-11-08,Toys,214.31,1,0,Tablet App,iPhone,Crypto,DHL,1,0
ORD000083,CUST00019,2024-01-09,Grocery,105.53,1,0,Mobile App,iPhone,Gift Card,USPS,1,0
ORD000084,CUST00019,2024-05-04,Sports,152.29,1,0,Mobile App,MacBook,Gift Card,USPS,1,0
ORD000085,CUST00019,2025-03-07,Shoes,60.4,0,0,Tablet App,MacBook,Credit Card,USPS,1,0
ORD000086,CUST00019,2024-02-27,Tools,99.71,0,0,Web Browser,iPhone,Credit Card,FedEx,0,1
ORD000087,CUST00020,2025-06-30,Shoes,57.09,1,0,Tablet App,iPhone,Buy Now Pay Later,UPS,1,0
ORD000088,CUST00020,2024-04-16,Clothing,16.4,0,0,Mobile App,Android,PayPal,UPS,1,0
ORD000089,CUST00020,2024-08-28,Beauty,252.37,0,0,Web Browser,Windows PC,Buy Now Pay Later,FedEx,1,0
ORD000090,CUST00020,2025-08-07,Home & Kitchen,100.77,1,0,Web Browser,MacBook,Credit Card,USPS,1,0
ORD000091,CUST00020,2025-02-11,Shoes,37.94,0,0,Tablet App,iPhone,Gift Card,USPS,1,0
ORD000092,CUST00021,2024-05-04,Toys,115.54,1,0,Mobile App,iPad,PayPal,USPS,1,0
ORD000093,CUST00021,2025-06-26,Electronics,125.33,0,0,Mobile App,Windows PC,PayPal,UPS,1,0
ORD000094,CUST00021,2024-11-22,Books,52.62,0,0,Web Browser,iPad,Debit Card,USPS,1,0
ORD000095,CUST00021,2024-09-23,Beauty,5.0,0,0,Tablet App,Android,Gift Card,OnTrac,1,0
ORD000096,CUST00022,2025-01-19,Toys,159.36,0,0,Web Browser,iPhone,Buy Now Pay Later,USPS,1,0
ORD000097,CUST00022,2024-02-23,Grocery,124.11,0,0,Web Browser,MacBook,Credit Card,FedEx,1,0
ORD000098,CUST00022,2025-07-10,Books,5.0,1,0,Mobile App,iPhone,Crypto,UPS,1,0
ORD000099,CUST00022,2025-06-20,Shoes,47.27,1,0,Tablet App,iPhone,PayPal,FedEx,0,0
ORD000100,CUST00023,2024-04-22,Home & Kitchen,112.77,0,0,Web Browser,iPad,Debit Card,UPS,1,0
ORD000101,CUST00023,2024-02-26,Grocery,277.65,0,0,Web Browser,Windows PC,Gift Card,UPS,1,0
ORD000102,CUST00023,2024-05-22,Beauty,140.4,1,0,Mobile App,iPad,Buy Now Pay Later,OnTrac,1,0
ORD000103,CUST00023,2024-09-03,Beauty,145.61,0,0,Web Browser,Android,Debit Card,UPS,1,0
ORD000104,CUST00023,2025-02-28,Home & Kitchen,5.0,1,0,Tablet App,Windows PC,Crypto,OnTrac,1,0
ORD000105,CUST00023,2025-01-04,Furniture,249.99,0,0,Tablet App,MacBook,Buy Now Pay Later,UPS,1,0
ORD000106,CUST00023,2024-08-08,Tools,59.2,1,0,Web Browser,MacBook,Gift Card,OnTrac,1,0
ORD000107,CUST00023,2025-05-17,Tools,302.52,1,1,Mobile App,Windows PC,PayPal,DHL,1,0
ORD000108,CUST00024,2025-02-03,Home & Kitchen,165.87,0,0,Tablet App,iPhone,PayPal,UPS,1,0
ORD000109,CUST00024,2024-09-25,Clothing,5.0,0,0,Web Browser,iPad,Crypto,UPS,1,0
ORD000110,CUST00024,2024-11-21,Books,274.37,0,0,Tablet App,Android,Crypto,OnTrac,1,0
ORD000111,CUST00024,2025-02-22,Furniture,117.06,1,0,Tablet App,iPad,PayPal,USPS,1,0
ORD000112,CUST00024,2025-02-11,Home & Kitchen,114.82,0,0,Web Browser,MacBook,Buy Now Pay Later,UPS,1,0
ORD000113,CUST00025,2025-01-02,Clothing,5.0,0,0,Mobile App,Windows PC,Gift Card,UPS,1,0
ORD000114,CUST00025,2025-01-09,Tools,58.84,1,0,Web Browser,MacBook,Credit Card,OnTrac,1,0
ORD000115,CUST00025,2025-04-23,Grocery,5.0,0,0,Tablet App,Windows PC,PayPal,USPS,1,0
ORD000116,CUST00025,2025-03-23,Sports,62.11,1,0,Web Browser,iPad,Credit Card,FedEx,1,0
ORD000117,CUST00025,2025-07-21,Books,5.0,0,0,Tablet App,iPhone,Gift Card,DHL,1,0
ORD000118,CUST00025,2025-02-22,Shoes,206.13,1,0,Tablet App,Windows PC,PayPal,USPS,1,0
ORD000119,CUST00026,2024-11-27,Jewelry,55.53,0,0,Tablet App,iPhone,Credit Card,USPS,1,0
ORD000120,CUST00026,2025-08-14,Books,145.17,1,0,Mobile App,Windows PC,PayPal,DHL,1,0
ORD000121,CUST00027,2025-02-13,Shoes,262.02,0,0,Mobile App,MacBook,PayPal,FedEx,1,1
ORD000122,CUST00027,2024-09-10,Books,140.04,1,0,Mobile App,MacBook,Debit Card,USPS,0,0
ORD000123,CUST00027,2024-03-13,Sports,7.22,1,0,Web Browser,Windows PC,Buy Now Pay Later,FedEx,0,0
ORD000124,CUST00028,2024-11-03,Sports,157.9,1,0,Web Browser,Windows PC,Credit Card,FedEx,1,0
ORD000125,CUST00029,2024-05-26,Toys,157.93,0,0,Mobile App,Windows PC,Gift Card,DHL,1,0
ORD000126,CUST00029,2025-01-04,Shoes,109.7,1,0,Tablet App,Windows PC,Credit Card,UPS,1,0
ORD000127,CUST00029,2025-03-07,Tools,130.62,0,0,Tablet App,Windows PC,Gift Card,FedEx,1,0
ORD000128,CUST00029,2024-04-05,Grocery,110.3,1,0,Tablet App,iPad,Credit Card,USPS,1,0
ORD000129,CUST00029,2024-12-20,Home & Kitchen,21.9,1,0,Mobile App,MacBook,PayPal,OnTrac,1,0
ORD000130,CUST00030,2024-10-03,Jewelry,179.36,1,0,Tablet App,Windows PC,Debit Card,OnTrac,1,0
ORD000131,CUST00030,2025-04-18,Furniture,75.65,0,0,Tablet App,MacBook,Credit Card,FedEx,1,0
ORD000132,CUST00031,2024-10-25,Tools,79.44,0,0,Mobile App,MacBook,Crypto,OnTrac,1,0
ORD000133,CUST00031,2025-08-18,Furniture,7.53,0,0,Web Browser,MacBook,PayPal,OnTrac,1,0
ORD000134,CUST00032,2024-08-13,Beauty,157.03,1,0,Web Browser,iPad,Debit Card,USPS,1,0
ORD000135,CUST00032,2024-06-27,Tools,37.65,1,0,Web Browser,Android,Gift Card,UPS,1,0
ORD000136,CUST00032,2025-06-15,Home & Kitchen,74.24,0,0,Mobile App,Android,PayPal,OnTrac,1,0
ORD000137,CUST00032,2024-05-30,Shoes,72.3,0,0,Mobile App,Windows PC,Credit Card,OnTrac,1,0
ORD000138,CUST00032,2024-06-30,Toys,250.27,0,0,Tablet App,iPad,Gift Card,OnTrac,1,0
ORD000139,CUST00033,2025-03-07,Sports,79.23,0,0,Tablet App,MacBook,Debit Card,OnTrac,1,0
ORD000140,CUST00033,2025-06-27,Shoes,73.64,1,0,Web Browser,iPhone,Credit Card,OnTrac,1,0
ORD000141,CUST00033,2024-06-17,Books,15.94,1,0,Web Browser,Android,Buy Now Pay Later,UPS,0,0
ORD000142,CUST00034,2024-06-12,Sports,150.83,0,0,Mobile App,Android,Buy Now Pay Later,FedEx,1,0
ORD000143,CUST00035,2024-04-29,Books,178.34,1,0,Web Browser,Android,Debit Card,FedEx,1,0
ORD000144,CUST00035,2024-07-15,Toys,5.0,0,0,Mobile App,Android,PayPal,FedEx,1,0
ORD000145,CUST00035,2024-09-01,Jewelry,45.3,0,0,Mobile App,Android,Debit Card,DHL,1,0
ORD000146,CUST00035,2025-02-22,Books,5.0,1,0,Tablet App,iPhone,Gift Card,OnTrac,1,0
ORD000147,CUST00035,2024-07-18,Electronics,5.0,1,0,Mobile App,Windows PC,Debit Card,USPS,1,0
ORD000148,CUST00036,2025-07-19,Tools,286.01,1,0,Web Browser,Android,Credit Card,UPS,1,0
ORD000149,CUST00036,2025-03-10,Sports,53.23,0,0,Tablet App,iPad,Debit Card,UPS,0,0
ORD000150,CUST00036,2025-03-26,Home & Kitchen,96.76,1,0,Web Browser,iPad,Buy Now Pay Later,UPS,1,0
ORD000151,CUST00036,2024-01-03,Beauty,228.54,0,0,Web Browser,Windows PC,Crypto,USPS,0,0
ORD000152,CUST00036,2025-03-04,Beauty,81.04,0,0,Tablet App,iPhone,Credit Card,DHL,0,1
ORD000153,CUST00037,2025-03-27,Shoes,96.29,0,0,Tablet App,Android,PayPal,OnTrac,1,0
ORD000154,CUST00037,2025-05-26,Jewelry,143.94,0,0,Web Browser,MacBook,Crypto,FedEx,1,0
ORD000155,CUST00037,2025-06-12,Furniture,112.29,1,0,Web Browser,Windows PC,Credit Card,UPS,1,0
ORD000156,CUST00037,2025-06-22,Home & Kitchen,39.46,0,0,Web Browser,iPhone,Credit Card,OnTrac,1,0
ORD000157,CUST00037,2024-12-17,Sports,239.62,1,0,Web Browser,Windows PC,PayPal,UPS,1,0
ORD000158,CUST00037,2025-04-25,Books,147.53,0,0,Mobile App,iPad,Debit Card,FedEx,1,0
ORD000159,CUST00037,2024-10-25,Electronics,283.54,1,0,Mobile App,MacBook,Credit Card,OnTrac,1,0
ORD000160,CUST00037,2025-01-26,Tools,5.0,0,0,Tablet App,Windows PC,PayPal,DHL,1,0
ORD000161,CUST00037,2024-06-20,Books,167.61,0,0,Mobile App,iPad,Credit Card,USPS,1,0
ORD000162,CUST00037,2025-05-13,Books,106.82,1,0,Mobile App,iPhone,Crypto,FedEx,1,1
ORD000163,CUST00037,2024-06-28,Furniture,5.0,0,0,Web Browser,Windows PC,PayPal,FedEx,1,0
ORD000164,CUST00037,2024-03-15,Shoes,49.7,1,0,Mobile App,iPad,Debit Card,DHL,1,0
ORD000165,CUST00038,2024-05-31,Tools,113.59,0,0,Mobile App,iPad,Crypto,OnTrac,1,0
ORD000166,CUST00038,2025-02-16,Toys,141.19,1,0,Mobile App,iPhone,Debit Card,USPS,1,0
ORD000167,CUST00038,2024-04-18,Books,65.3,0,0,Mobile App,Windows PC,Buy Now Pay Later,USPS,1,0
ORD000168,CUST00038,2025-07-31,Sports,16.61,1,0,Web Browser,iPad,Debit Card,UPS,1,0
ORD000169,CUST00039,2024-09-27,Books,167.59,0,0,Web Browser,Android,Gift Card,DHL,1,1
ORD000170,CUST00039,2025-02-15,Books,5.0,1,0,Mobile App,iPad,Credit Card,UPS,1,0
ORD000171,CUST00039,2024-05-14,Sports,53.53,0,0,Tablet App,Windows PC,Gift Card,FedEx,1,0
ORD000172,CUST00039,2024-11-15,Furniture,29.02,0,0,Mobile App,MacBook,Gift Card,FedEx,1,0
ORD000173,CUST00040,2024-11-12,Beauty,7.42,0,0,Mobile App,Android,Crypto,DHL,1,0
ORD000174,CUST00041,2025-01-09,Shoes,122.58,0,0,Tablet App,Android,Gift Card,FedEx,1,0
ORD000175,CUST00041,2024-11-06,Sports,205.9,0,0,Tablet App,Android,Gift Card,FedEx,1,0
ORD000176,CUST00041,2024-10-27,Furniture,209.29,0,0,Web Browser,MacBook,Credit Card,OnTrac,1,0
ORD000177,CUST00041,2025-07-14,Books,133.79,0,0,Web Browser,MacBook,Debit Card,UPS,1,0
ORD000178,CUST00041,2025-07-28,Grocery,216.0,1,0,Web Browser,iPhone,Buy Now Pay Later,FedEx,1,0
ORD000179,CUST00042,2025-02-08,Tools,197.13,1,0,Web Browser,iPhone,Crypto,OnTrac,1,1
ORD000180,CUST00042,2025-01-26,Home & Kitchen,32.75,1,0,Tablet App,MacBook,PayPal,USPS,0,0
ORD000181,CUST00042,2024-05-17,Jewelry,144.47,0,0,Mobile App,MacBook,PayPal,DHL,1,0
ORD000182,CUST00042,2024-08-25,Shoes,104.04,0,0,Web Browser,Android,Gift Card,UPS,1,0
ORD000183,CUST00042,2024-12-19,Beauty,91.82,1,0,Tablet App,Android,PayPal,USPS,1,0
ORD000184,CUST00042,2024-07-12,Home & Kitchen,64.02,0,0,Web Browser,MacBook,Credit Card,OnTrac,1,0
ORD000185,CUST00042,2024-09-04,Electronics,27.69,0,0,Mobile App,iPad,Debit Card,FedEx,1,0
ORD000186,CUST00042,2024-09-20,Grocery,205.64,0,0,Web Browser,MacBook,Buy Now Pay Later,UPS,1,0
ORD000187,CUST00042,2024-02-06,Jewelry,5.0,1,0,Tablet App,Android,PayPal,FedEx,1,0
ORD000188,CUST00043,2024-09-11,Toys,129.24,1,0,Web Browser,MacBook,Gift Card,OnTrac,1,0
ORD000189,CUST00043,2024-10-26,Books,178.51,1,0,Web Browser,Android,Buy Now Pay Later,USPS,1,0
ORD000190,CUST00043,2025-05-07,Clothing,128.75,1,0,Mobile App,iPad,Credit Card,OnTrac,1,0
ORD000191,CUST00043,2025-01-11,Jewelry,92.97,1,0,Mobile App,Windows PC,Crypto,USPS,1,0
ORD000192,CUST00044,2024-07-25,Home & Kitchen,209.71,0,0,Web Browser,Android,Gift Card,UPS,1,0
ORD000193,CUST00044,2025-07-10,Jewelry,86.42,1,0,Tablet App,MacBook,Credit Card,FedEx,1,0
ORD000194,CUST00045,2024-03-19,Shoes,104.67,1,0,Tablet App,Android,Credit Card,DHL,1,0
ORD000195,CUST00045,2024-04-27,Shoes,94.8,0,0,Mobile App,Android,PayPal,USPS,1,0
ORD000196,CUST00045,2025-08-21,Books,155.37,0,0,Tablet App,MacBook,PayPal,USPS,1,0
ORD000197,CUST00045,2024-01-13,Electronics,98.4,0,0,Mobile App,Android,PayPal,OnTrac,1,0
ORD000198,CUST00046,2025-06-08,Furniture,125.31,0,0,Web Browser,iPad,Crypto,FedEx,1,1
ORD000199,CUST00046,2024-01-07,Home & Kitchen,103.07,0,0,Web Browser,MacBook,PayPal,OnTrac,0,1
ORD000200,CUST00046,2024-09-03,Grocery,193.25,0,0,Web Browser,Android,Buy Now Pay Later,UPS,0,0
ORD000201,CUST00046,2024-03-08,Books,181.12,0,0,Web Browser,MacBook,Buy Now Pay Later,UPS,0,1
ORD000202,CUST00046,2025-05-14,Jewelry,98.44,0,0,Tablet App,Android,PayPal,DHL,0,0
ORD000203,CUST00046,2024-12-14,Grocery,124.06,1,0,Tablet App,iPad,Credit Card,UPS,1,0
ORD000204,CUST00046,2025-02-20,Electronics,50.76,0,0,Mobile App,iPad,Crypto,USPS,0,0
ORD000205,CUST00046,2024-09-24,Toys,131.15,0,0,Web Browser,Windows PC,Credit Card,FedEx,0,0
ORD000206,CUST00047,2024-05-08,Books,153.83,1,0,Mobile App,iPad,Crypto,USPS,1,0
ORD000207,CUST00047,2025-08-04,Jewelry,129.71,0,0,Web Browser,iPhone,Crypto,DHL,1,0
ORD000208,CUST00048,2025-03-16,Tools,5.0,0,0,Mobile App,iPhone,Debit Card,UPS,1,0
ORD000209,CUST00048,2024-10-03,Beauty,167.34,0,0,Tablet App,Android,Debit Card,USPS,1,0
ORD000210,CUST00048,2025-04-09,Books,65.19,0,0,Mobile App,iPad,Gift Card,OnTrac,1,0
ORD000211,CUST00048,2024-08-16,Clothing,221.03,0,0,Tablet App,iPhone,Crypto,OnTrac,1,0
ORD000212,CUST00048,2024-07-14,Tools,215.75,0,0,Mobile App,Windows PC,Credit Card,DHL,1,0
ORD000213,CUST00049,2024-02-01,Beauty,199.52,1,0,Mobile App,Windows PC,Buy Now Pay Later,UPS,1,0
ORD000214,CUST00049,2025-01-20,Electronics,92.61,1,0,Tablet App,Android,Debit Card,FedEx,1,0
ORD000215,CUST00049,2024-05-14,Books,115.86,1,0,Tablet App,MacBook,PayPal,USPS,1,0
ORD000216,CUST00050,2024-03-13,Grocery,15.29,0,0,Tablet App,iPad,Credit Card,OnTrac,1,0
ORD000217,CUST00050,2024-01-11,Shoes,195.39,0,0,Tablet App,iPhone,Buy Now Pay Later,DHL,0,0
ORD000218,CUST00050,2024-06-01,Beauty,83.07,0,0,Tablet App,iPad,Crypto,DHL,0,0
ORD000219,CUST00051,2025-02-27,Electronics,5.0,1,0,Mobile App,Windows PC,Gift Card,UPS,1,0
ORD000220,CUST00052,2024-11-14,Electronics,134.96,0,0,Web Browser,Android,PayPal,UPS,1,0
ORD000221,CUST00053,2024-02-05,Grocery,169.32,0,0,Mobile App,Android,Buy Now Pay Later,FedEx,1,0
ORD000222,CUST00053,2024-09-04,Tools,39.38,0,0,Web Browser,MacBook,Gift Card,FedEx,1,0
ORD000223,CUST00053,2024-04-07,Books,29.95,0,0,Mobile App,iPhone,Debit Card,OnTrac,1,0
ORD000224,CUST00053,2024-02-15,Grocery,89.34,1,0,Tablet App,iPhone,Buy Now Pay Later,FedEx,1,1
ORD000225,CUST00053,2025-06-03,Shoes,154.2,1,0,Web Browser,MacBook,Buy Now Pay Later,UPS,1,0
ORD000226,CUST00053,2024-07-20,Books,26.52,0,0,Web Browser,iPad,Crypto,DHL,1,0
ORD000227,CUST00053,2024-10-21,Jewelry,67.38,0,0,Mobile App,Windows PC,Buy Now Pay Later,OnTrac,1,0
ORD000228,CUST00053,2024-08-25,Sports,180.98,0,0,Web Browser,iPad,Credit Card,OnTrac,1,0
ORD000229,CUST00054,2024-02-19,Home & Kitchen,100.23,1,0,Tablet App,iPad,Debit Card,FedEx,1,0
ORD000230,CUST00054,2024-03-03,Books,73.12,0,0,Tablet App,Windows PC,Debit Card,UPS,0,0
ORD000231,CUST00055,2024-05-15,Electronics,254.83,0,0,Web Browser,Android,Debit Card,FedEx,1,0
ORD000232,CUST00055,2024-09-22,Tools,124.6,0,0,Web Browser,Windows PC,Debit Card,USPS,1,0
ORD000233,CUST00055,2025-02-10,Beauty,218.46,0,0,Web Browser,Android,Buy Now Pay Later,DHL,1,0
ORD000234,CUST00056,2024-07-10,Tools,114.78,0,0,Tablet App,iPad,Gift Card,OnTrac,1,0
ORD000235,CUST00056,2024-04-30,Sports,5.0,0,0,Tablet App,iPad,PayPal,FedEx,1,0
ORD000236,CUST00057,2025-06-22,Clothing,222.08,0,0,Web Browser,iPhone,Crypto,USPS,1,0
ORD000237,CUST00057,2025-02-12,Books,186.73,1,0,Tablet App,Windows PC,Gift Card,OnTrac,1,0
ORD000238,CUST00057,2024-09-18,Toys,207.72,1,0,Mobile App,iPhone,Buy Now Pay Later,USPS,1,0
ORD000239,CUST00057,2024-09-20,Home & Kitchen,274.44,1,0,Tablet App,iPad,Crypto,DHL,1,0
ORD000240,CUST00057,2025-02-09,Jewelry,23.7,0,0,Web Browser,Windows PC,Credit Card,USPS,1,0
