customer_id,age,account_age_days,customer_segment,country,multiple_accounts_flag,customer_support_contacts
CUST00057,20,28,Bronze,IN,0,1
CUST00058,45,213,Bronze,IN,0,0
CUST00059,34,150,Bronze,IN,0,0
CUST00060,18,137,Bronze,IN,0,0
CUST00061,46,64,Silver,IN,0,0
CUST00062,30,25,New,IN,0,0
CUST00063,37,469,Silver,IN,0,0
CUST00064,19,137,Bronze,IN,0,0
CUST00065,46,2797,Gold,IN,0,0
CUST00066,39,36,Bronze,IN,0,1
CUST00067,36,945,New,IN,0,0
CUST00068,18,167,Gold,IN,0,0
CUST00069,22,6,Silver,IN,1,10
CUST00070,30,342,Platinum,IN,0,0
CUST00071,44,20,New,IN,0,3
CUST00072,37,584,Gold,IN,0,1
CUST00073,26,125,Bronze,IN,0,0
CUST00074,46,210,Bronze,IN,0,0
CUST00075,36,66,Silver,IN,0,0
CUST00076,30,563,Gold,IN,0,0
CUST00077,49,139,New,IN,0,1
CUST00078,43,402,New,IN,0,0
CUST00079,50,170,Bronze,IN,0,0
CUST00080,18,118,New,IN,1,5
CUST00081,42,241,Gold,IN,0,0
CUST00082,32,16,Silver,IN,0,0
CUST00083,40,162,Bronze,IN,0,0
CUST00084,43,15,Bronze,IN,0,0
CUST00085,55,244,Bronze,IN,0,0
CUST00086,51,317,New,IN,0,0
CUST00087,43,476,Bronze,IN,0,0
CUST00088,46,144,Silver,IN,0,0
CUST00089,28,223,New,IN,0,0
CUST00090,34,73,New,IN,0,0
CUST00091,29,226,Bronze,IN,0,0
CUST00092,32,327,Bronze,IN,0,0
CUST00093,26,54,Bronze,IN,0,0
CUST00094,22,295,Bronze,IN,0,0
CUST00095,34,219,Bronze,IN,0,0
CUST00096,38,68,New,IN,0,2
CUST00097,28,304,New,IN,0,0
CUST00098,41,192,Gold,IN,0,0
CUST00099,26,100,New,IN,0,0
CUST00100,45,360,Silver,IN,0,0
CUST00101,39,532,Gold,IN,0,0
CUST00102,42,1507,Gold,IN,0,0
CUST00103,45,78,New,IN,0,2
CUST00104,49,717,New,IN,0,0
CUST00105,29,139,Silver,IN,0,0
CUST00106,36,134,Bronze,IN,0,0
CUST00107,29,132,Bronze,IN,0,0
CUST00108,35,279,Gold,IN,0,1
CUST00109,36,100,Silver,IN,0,0
CUST00110,63,482,New,IN,0,0
CUST00111,47,71,Gold,IN,0,0
CUST00112,38,52,New,IN,1,4
CUST00113,32,150,Silver,IN,0,0
CUST00114,18,86,Bronze,IN,0,0
CUST00115,43,64,Bronze,IN,0,2
CUST00116,20,79,New,IN,0,0
CUST00117,22,38,Bronze,IN,0,2
CUST00118,18,48,Bronze,IN,0,0
CUST00119,44,258,New,IN,0,2
CUST00120,30,428,New,IN,0,0
CUST00121,34,193,Gold,IN,0,0
CUST00122,36,337,Bronze,IN,0,0
CUST00123,40,741,Silver,IN,0,0
CUST00124,43,88,Silver,IN,0,0
CUST00125,45,456,Bronze,IN,0,13
CUST00126,37,965,Silver,IN,0,0
CUST00127,44,92,Silver,IN,0,0
CUST00128,33,270,Gold,IN,0,0
CUST00129,18,590,New,IN,0,0
CUST00130,38,258,Gold,IN,0,4
CUST00131,18,1144,Gold,IN,0,0
CUST00132,40,82,Gold,IN,1,8
CUST00133,40,171,New,IN,0,1
CUST00134,28,301,New,IN,0,15
CUST00135,29,133,Silver,IN,0,3
CUST00136,26,134,Silver,IN,0,0
CUST00137,34,148,Silver,IN,0,0
CUST00138,46,113,Silver,IN,0,0
CUST00139,45,574,Silver,IN,0,0
CUST00140,29,422,Bronze,IN,0,0
CUST00141,33,158,Bronze,IN,0,0
CUST00142,30,362,Bronze,IN,0,0
CUST00143,22,374,New,IN,0,0
CUST00144,27,410,Bronze,IN,0,0
CUST00145,31,588,Bronze,IN,0,0
CUST00146,44,123,Bronze,IN,0,0
CUST00147,36,234,Bronze,IN,0,4
CUST00148,35,774,Gold,IN,0,0
CUST00149,28,50,Gold,IN,0,0
CUST00150,50,229,Bronze,IN,0,0
CUST00151,37,943,Gold,IN,0,0
CUST00152,33,553,Silver,IN,0,0
CUST00153,22,92,Bronze,IN,0,0
CUST00154,47,133,Silver,IN,0,2
CUST00155,49,364,Silver,IN,0,0
CUST00156,32,34,New,IN,0,0
CUST00157,45,114,Platinum,IN,0,0
CUST00158,35,35,New,IN,0,1
CUST00159,35,427,Silver,IN,0,2
CUST00160,46,94,Silver,IN,0,0
CUST00161,42,292,New,IN,0,1
CUST00162,28,43,Bronze,IN,0,0
CUST00163,36,84,Gold,IN,0,0
CUST00164,25,483,Silver,IN,0,0
CUST00165,28,10,Silver,IN,0,0
CUST00166,41,320,Bronze,IN,0,0
CUST00167,19,377,Silver,IN,0,0
CUST00168,57,275,New,IN,0,0
CUST00169,30,361,Gold,IN,1,19
CUST00170,39,482,Gold,IN,0,1
CUST00171,41,784,Silver,IN,0,7
CUST00172,35,55,Silver,IN,1,11
CUST00173,18,18,New,IN,0,0
CUST00174,34,29,Bronze,IN,0,0
CUST00175,47,110,Gold,IN,0,0
CUST00176,36,601,Bronze,IN,0,0
CUST00177,18,135,Silver,IN,0,0
CUST00178,31,36,New,IN,0,0
CUST00179,52,1094,Silver,IN,0,2
CUST00180,66,71,New,IN,0,1
CUST00181,42,619,Silver,IN,0,0
CUST00182,48,689,Silver,IN,0,0
CUST00183,42,541,Bronze,IN,0,0
CUST00184,34,435,Silver,IN,0,2
CUST00185,18,199,Gold,IN,0,0
CUST00186,46,17,New,IN,0,0
CUST00187,36,911,Gold,IN,0,0
CUST00188,38,102,Silver,IN,0,0
CUST00189,43,339,Gold,IN,0,1
CUST00190,32,213,Bronze,IN,0,0
CUST00191,53,93,Silver,IN,0,0
CUST00192,28,420,Bronze,IN,0,0
CUST00193,35,24,New,IN,0,0
CUST00194,27,15,New,IN,0,0
CUST00195,32,44,Gold,IN,0,1
CUST00196,18,6,New,IN,0,0
CUST00197,45,232,Gold,IN,0,0
CUST00198,37,378,Bronze,IN,0,0
CUST00199,31,181,New,IN,0,0
CUST00200,40,273,New,IN,0,0
CUST00201,32,621,New,IN,0,0
CUST00202,27,65,Silver,IN,0,0
CUST00203,50,279,Bronze,IN,0,0
CUST00204,18,44,Gold,IN,0,0
CUST00205,50,357,New,IN,0,0
CUST00206,18,99,New,IN,0,0
CUST00207,19,1026,Gold,IN,0,0
CUST00208,39,493,Silver,IN,0,0
CUST00209,43,312,Silver,IN,0,0
CUST00210,34,370,Silver,IN,0,0
CUST00211,52,253,Silver,IN,0,0
CUST00212,31,225,Bronze,IN,0,0
CUST00213,44,734,Bronze,IN,0,0
CUST00214,18,219,Gold,IN,0,0
CUST00215,33,398,New,IN,0,0
CUST00216,18,192,New,IN,0,9
CUST00217,31,60,Silver,IN,0,0
CUST00218,56,317,Silver,IN,0,0
CUST00219,34,201,New,IN,0,0
CUST00220,37,322,Gold,IN,0,0
CUST00221,20,218,Gold,IN,0,0
CUST00222,47,285,Bronze,IN,0,0
CUST00223,31,562,Silver,IN,0,0
CUST00224,18,391,Silver,IN,0,0
CUST00225,21,32,New,IN,0,0
CUST00226,35,102,Platinum,IN,0,0
CUST00227,43,144,New,IN,0,0
CUST00228,31,122,Bronze,IN,0,0
CUST00229,25,313,Silver,IN,0,0
CUST00230,23,205,Bronze,IN,0,0
CUST00231,25,133,New,IN,0,0
CUST00232,47,130,Gold,IN,0,0
CUST00233,20,57,Platinum,IN,0,0
CUST00234,40,633,New,IN,0,0
CUST00235,54,612,Silver,IN,0,0
CUST00236,23,78,Silver,IN,0,2
CUST00237,21,227,Gold,IN,0,0
CUST00238,30,123,Gold,IN,0,0
CUST00239,18,282,New,IN,0,0
CUST00240,18,1250,Bronze,IN,0,0
CUST00241,18,1634,Gold,IN,0,1
CUST00242,30,214,Bronze,IN,0,0
CUST00243,32,1019,Gold,IN,0,1
CUST00244,34,45,New,IN,0,0
CUST00245,25,182,Silver,IN,0,0
CUST00246,18,85,Bronze,IN,0,2
CUST00247,20,48,New,IN,0,0
CUST00248,18,147,Silver,IN,0,0
CUST00249,44,200,Bronze,IN,0,0
CUST00250,48,859,New,IN,0,1
CUST00251,33,318,New,IN,0,0
CUST00252,32,342,New,IN,0,0
CUST00253,45,223,Silver,IN,0,0
CUST00254,44,55,Gold,IN,0,0
CUST00255,48,193,Bronze,IN,0,0
CUST00256,37,373,New,IN,0,0
CUST00257,45,355,Bronze,IN,0,0
CUST00258,27,213,Silver,IN,0,2
CUST00259,18,232,Bronze,IN,0,0
CUST00260,20,222,New,IN,0,0
CUST00261,25,52,Bronze,IN,0,0
CUST00262,50,124,New,IN,0,0
CUST00263,51,10,Bronze,IN,0,0
CUST00264,18,97,Bronze,IN,0,0
CUST00265,56,630,Silver,IN,0,1
CUST00266,45,310,Gold,IN,0,0
CUST00267,21,136,Bronze,IN,0,0
CUST00268,33,87,Silver,IN,0,0
CUST00269,56,96,Gold,IN,0,0
CUST00270,37,292,Gold,IN,0,4
CUST00271,37,112,Silver,IN,0,0
CUST00272,21,122,Gold,IN,0,0
CUST00273,26,411,Gold,IN,0,0
CUST00274,23,375,Bronze,IN,0,0
CUST00275,46,91,Gold,IN,0,0
CUST00276,38,53,Silver,IN,0,0
CUST00277,32,321,Bronze,IN,0,0
CUST00278,52,115,Silver,IN,0,0
CUST00279,34,403,New,IN,0,10
CUST00280,43,258,Bronze,IN,0,0
CUST00281,33,65,New,IN,0,0
CUST00282,40,136,Silver,IN,0,0
CUST00283,25,588,Bronze,IN,0,3
CUST00284,18,276,Platinum,IN,0,0
CUST00285,41,383,Bronze,IN,0,6
CUST00286,21,1351,Bronze,IN,0,0
CUST00287,45,73,Silver,IN,0,0
CUST00288,39,433,Bronze,IN,0,0
CUST00289,26,460,Bronze,IN,0,0
CUST00290,35,59,Gold,IN,0,5
CUST00291,22,228,Bronze,IN,0,0
CUST00292,32,45,Bronze,IN,0,2
CUST00293,34,93,Silver,IN,0,0
CUST00294,34,481,Gold,IN,0,0
CUST00295,40,274,Silver,IN,0,0
CUST00296,39,146,New,IN,0,0
CUST00297,48,313,Bronze,IN,0,0
CUST00298,35,1246,Silver,IN,0,0
CUST00299,33,110,Silver,IN,0,0
CUST00300,39,267,Gold,IN,0,0
CUST00301,22,86,Silver,IN,0,0
CUST00302,51,587,Silver,IN,0,0
CUST00303,58,18,New,IN,0,0
CUST00304,46,371,Platinum,IN,0,0
CUST00305,29,761,Silver,IN,1,5
CUST00306,18,136,Bronze,IN,0,0
CUST00307,54,187,Bronze,IN,0,0
CUST00308,42,233,New,IN,0,5
CUST00309,54,90,Bronze,IN,0,0
CUST00310,33,15,Silver,IN,0,1
CUST00311,32,200,New,IN,0,1
CUST00312,34,675,Silver,IN,0,0
CUST00313,50,317,Platinum,IN,0,0
CUST00314,34,436,New,IN,0,0
CUST00315,25,274,Platinum,IN,0,0
CUST00316,43,10,Bronze,IN,0,0
CUST00317,18,16,New,IN,0,1
CUST00318,29,461,Silver,IN,0,0
CUST00319,18,542,Bronze,IN,0,0
CUST00320,55,197,Bronze,IN,0,1
CUST00321,37,80,Bronze,IN,0,3
CUST00322,19,147,Bronze,IN,0,0
CUST00323,37,546,Gold,IN,1,14
CUST00324,26,322,Bronze,IN,0,0
CUST00325,46,22,Silver,IN,0,0
CUST00326,33,22,Gold,IN,0,0
CUST00327,45,68,Silver,IN,0,0
CUST00328,42,91,Platinum,IN,0,0
CUST00329,48,506,Bronze,IN,0,6
CUST00330,36,54,Silver,IN,0,1
CUST00331,21,133,Silver,IN,0,5
CUST00332,29,284,Silver,IN,0,0
CUST00333,25,518,Silver,IN,0,0
CUST00334,18,758,New,IN,0,0
CUST00335,23,191,Silver,IN,0,0
CUST00336,37,237,New,IN,0,1
CUST00337,29,45,New,IN,0,0
CUST00338,20,223,Bronze,IN,1,13
CUST00339,18,24,Gold,IN,0,0
CUST00340,55,77,New,IN,0,1
CUST00341,37,470,Bronze,IN,0,0
CUST00342,31,102,Silver,IN,0,0
CUST00343,18,121,Gold,IN,0,0
CUST00344,19,325,New,IN,0,0
CUST00345,50,95,Bronze,IN,0,0
CUST00346,40,864,Silver,IN,0,0
CUST00347,39,64,Silver,IN,0,0
CUST00348,29,79,Bronze,IN,0,0
CUST00349,40,767,Silver,IN,1,9
CUST00350,49,72,Bronze,IN,0,0
CUST00351,28,157,Bronze,IN,0,0
CUST00352,31,725,Silver,IN,0,0
CUST00353,33,775,Gold,IN,0,0
CUST00354,33,1460,New,IN,0,1
CUST00355,41,142,Gold,IN,0,0
CUST00356,25,88,New,IN,0,0
CUST00357,18,48,Silver,IN,0,8
CUST00358,31,49,Gold,IN,0,0
CUST00359,24,199,Bronze,IN,0,0
CUST00360,40,111,Bronze,IN,0,1
CUST00361,32,75,Bronze,IN,0,0
CUST00362,20,577,Gold,IN,0,0
CUST00363,18,413,Gold,IN,0,0
CUST00364,32,514,New,IN,0,1
CUST00365,27,155,Bronze,IN,0,0
CUST00366,50,229,New,IN,0,0
CUST00367,31,129,Gold,IN,0,1
CUST00368,37,120,Gold,IN,0,0
CUST00369,36,261,Gold,IN,0,3
CUST00370,36,1841,Silver,IN,0,0
CUST00371,59,41,Silver,IN,0,0
CUST00372,48,45,Silver,IN,0,0
CUST00373,34,280,Bronze,IN,0,0
CUST00374,34,33,Bronze,IN,0,0
CUST00375,46,56,Platinum,IN,0,0
CUST00376,26,84,Silver,IN,0,0
CUST00377,40,21,Gold,IN,0,0
CUST00378,29,477,Gold,IN,0,0
CUST00379,27,256,Silver,IN,0,0
CUST00380,39,86,Silver,IN,0,0
CUST00381,45,453,Silver,IN,0,0
CUST00382,18,773,Platinum,IN,0,6
CUST00383,22,198,Gold,IN,0,0
CUST00384,37,245,Silver,IN,1,3
CUST00385,44,685,Gold,IN,0,0
CUST00386,30,120,Bronze,IN,0,0
CUST00387,38,35,Bronze,IN,0,0
CUST00388,18,169,Bronze,IN,0,0
CUST00389,37,495,New,IN,0,0
CUST00390,21,244,New,IN,0,0
CUST00391,27,46,Silver,IN,0,0
CUST00392,24,170,Bronze,IN,0,0
CUST00393,28,123,New,IN,0,0
CUST00394,18,144,Silver,IN,0,0
CUST00395,44,145,Bronze,IN,0,0
CUST00396,18,475,Silver,IN,0,0
CUST00397,36,43,Gold,IN,0,0
CUST00398,18,13,New,IN,0,0
CUST00399,21,98,New,IN,0,0
CUST00400,38,471,Silver,IN,0,1
CUST00401,49,150,Platinum,IN,0,0
CUST00402,36,1308,Silver,IN,0,1
CUST00403,33,247,Bronze,IN,0,7
CUST00404,34,125,Gold,IN,0,0
CUST00405,51,427,Bronze,IN,0,0
CUST00406,22,114,New,IN,0,0
CUST00407,54,413,Silver,IN,0,6
CUST00408,39,96,Platinum,IN,0,0
CUST00409,33,715,Bronze,IN,0,0
CUST00410,42,316,Silver,IN,0,0
CUST00411,28,371,Bronze,IN,0,0
CUST00412,18,780,Gold,IN,0,0
CUST00413,18,721,Gold,IN,0,0
CUST00414,34,97,New,IN,0,12
CUST00415,34,622,Silver,IN,0,0
CUST00416,41,750,Bronze,IN,0,0
CUST00417,31,416,New,IN,0,0
CUST00418,35,116,Bronze,IN,0,0
CUST00419,43,571,New,IN,0,0
CUST00420,37,164,New,IN,0,0
CUST00421,26,289,New,IN,0,0
CUST00422,23,165,Gold,IN,0,0
CUST00423,30,91,Platinum,IN,0,2
CUST00424,30,396,Gold,IN,0,2
CUST00425,50,72,Bronze,IN,0,0
CUST00426,34,1589,New,IN,0,0
CUST00427,31,28,New,IN,0,0
CUST00428,46,199,Bronze,IN,0,1
CUST00429,49,504,Gold,IN,0,0
CUST00430,32,278,Silver,IN,0,0
CUST00431,18,472,Bronze,IN,0,0
CUST00432,40,74,Silver,IN,0,0
CUST00433,29,212,Silver,IN,0,0
CUST00434,34,152,Bronze,IN,1,11
CUST00435,35,44,Gold,IN,0,0
CUST00436,55,31,New,IN,0,0
CUST00437,35,138,Silver,IN,0,0
CUST00438,48,147,New,IN,0,0
CUST00439,49,125,Gold,IN,0,0
CUST00440,18,73,Bronze,IN,0,2
CUST00441,33,39,New,IN,0,0
CUST00442,34,102,Gold,IN,0,0
CUST00443,25,554,New,IN,0,0
CUST00444,33,181,New,IN,0,0
CUST00445,40,991,Silver,IN,0,0
CUST00446,33,460,Bronze,IN,0,0
CUST00447,35,641,Gold,IN,0,0
CUST00448,30,335,Platinum,IN,0,0
CUST00449,44,557,Gold,IN,0,0
CUST00450,26,572,Silver,IN,0,1
CUST00451,30,162,Silver,IN,0,0
CUST00452,60,291,New,IN,0,0
CUST00453,18,193,Bronze,IN,0,12
CUST00454,40,211,Bronze,IN,0,0
CUST00455,41,156,Bronze,IN,0,0
CUST00456,39,129,New,IN,0,12
CUST00457,54,26,Silver,IN,0,1
CUST00458,32,730,Gold,IN,0,14
CUST00459,58,359,Silver,IN,0,0
CUST00460,36,305,New,IN,0,0
CUST00461,32,85,Bronze,IN,0,0
CUST00462,44,408,New,IN,0,0
CUST00463,29,545,Silver,IN,0,0
CUST00464,18,323,New,IN,0,0
CUST00465,37,374,Gold,IN,0,0
CUST00466,21,146,Bronze,IN,0,0
CUST00467,43,7,Bronze,IN,0,0
CUST00468,39,623,Silver,IN,0,0
CUST00469,46,329,Silver,IN,0,3
CUST00470,37,138,Bronze,IN,0,4
CUST00471,32,163,Bronze,IN,0,0
CUST00472,24,74,Gold,IN,0,0
CUST00473,34,402,Bronze,IN,0,0
CUST00474,57,9,Gold,IN,0,2
CUST00475,21,292,Silver,IN,0,0
CUST00476,35,411,New,IN,0,0
CUST00477,19,38,Silver,IN,1,9
CUST00478,20,550,Silver,IN,0,0
CUST00479,29,70,New,IN,0,0
CUST00480,36,95,Bronze,IN,0,0
CUST00481,46,175,Bronze,IN,0,1
CUST00482,38,653,Silver,IN,0,1
CUST00483,52,205,Bronze,IN,0,1
CUST00484,35,383,Silver,IN,0,5
CUST00485,40,11,Silver,IN,0,0
CUST00486,28,467,Bronze,IN,0,0
CUST00487,37,254,New,IN,0,1
CUST00488,43,361,New,IN,0,0
CUST00489,36,125,New,IN,0,0
CUST00490,29,101,Bronze,IN,0,4
CUST00491,18,52,Silver,IN,0,0
CUST00492,33,738,Bronze,IN,0,0
CUST00493,37,802,New,IN,0,0
CUST00494,51,443,Silver,IN,0,3
CUST00495,28,218,Gold,IN,0,0
CUST00496,29,270,Silver,IN,0,0
CUST00497,37,75,New,IN,0,0
CUST00498,26,233,Silver,IN,0,0
CUST00499,31,124,New,IN,0,0
CUST00500,18,30,New,IN,0,1
