return_id,order_id,customer_id,return_date,days_to_return,return_reason,refund_amount,item_returned_opened,return_packaging_intact,photo_evidence_provided,refund_to_different_account,vendor_decision,verified_abuse_type,decision_timestamp
RET000059,ORD000224,CUST00053,2024-02-16,1,Wrong size,89.34,0,1,1,0,approved,Legitimate,2024-02-17
RET000060,ORD000234,CUST00056,2024-07-11,1,Item damaged,114.78,1,1,1,0,approved,Legitimate,2024-07-12
RET000061,ORD000241,CUST00057,2024-02-11,1,No longer needed,31.89,0,1,1,0,approved,Legitimate,2024-02-12
RET000062,ORD000256,CUST00061,2024-08-03,3,Not as described,134.33,0,1,1,0,approved,Legitimate,2024-08-05
RET000063,ORD000258,CUST00061,2024-07-14,4,Found cheaper elsewhere,165.75,0,1,0,0,approved,Legitimate,2024-07-16
RET000064,ORD000273,CUST00066,2024-09-26,22,Wrong size,89.29,0,1,1,0,approved,Legitimate,2024-09-28
RET000065,ORD000277,CUST00067,2024-12-09,3,Item defective,81.88,0,1,1,0,approved,Legitimate,2024-12-11
RET000066,ORD000279,CUST00068,2025-04-01,8,Found cheaper elsewhere,153.32,0,1,1,0,approved,Legitimate,2025-04-03
RET000067,ORD000283,CUST00069,2024-11-19,2,Late delivery,336.15,1,0,0,0,approved,Policy Abuser,2024-11-23
RET000068,ORD000284,CUST00069,2025-03-18,13,Changed mind,129.68,1,0,0,1,approved,Fraudulent Return,2025-03-21
RET000069,ORD000285,CUST00069,2025-02-21,1,Not as described,21.14,0,1,0,1,rejected,Policy Abuser,2025-02-24
RET000070,ORD000286,CUST00069,2024-10-01,6,Item damaged,313.69,0,0,0,0,rejected,Wardrobing,2024-10-04
RET000071,ORD000288,CUST00069,2024-04-02,10,No longer needed,118.47,1,0,1,1,approved,Policy Abuser,2024-04-04
RET000072,ORD000295,CUST00071,2024-11-03,1,Changed mind,92.31,0,0,1,0,approved,Legitimate,2024-11-07
RET000073,ORD000296,CUST00071,2024-08-10,1,No longer needed,108.4,1,0,1,0,approved,Legitimate,2024-08-11
RET000074,ORD000297,CUST00071,2025-04-17,1,Late delivery,33.02,1,0,0,0,rejected,Policy Abuser,2025-04-20
RET000075,ORD000300,CUST00072,2024-07-07,8,Not as described,164.28,1,1,0,0,approved,Legitimate,2024-07-11
RET000076,ORD000304,CUST00072,2024-09-11,1,No longer needed,94.25,1,1,0,0,approved,Legitimate,2024-09-14
RET000077,ORD000321,CUST00077,2024-12-23,1,Found cheaper elsewhere,257.85,1,0,0,0,approved,Legitimate,2024-12-25
RET000078,ORD000329,CUST00080,2024-09-27,15,Found cheaper elsewhere,27.99,1,0,0,0,approved,Wardrobing,2024-10-01
RET000079,ORD000330,CUST00080,2025-02-09,1,Found cheaper elsewhere,96.42,0,0,0,1,rejected,Fraudulent Return,2025-02-10
RET000080,ORD000331,CUST00080,2024-04-27,2,Wrong size,156.56,1,0,0,0,approved,Fraudulent Return,2024-04-28
RET000081,ORD000333,CUST00080,2025-08-12,8,Found cheaper elsewhere,202.57,1,0,0,0,approved,Policy Abuser,2025-08-14
RET000082,ORD000348,CUST00086,2024-02-20,3,Item damaged,284.68,0,1,1,0,approved,Legitimate,2024-02-21
RET000083,ORD000353,CUST00087,2025-08-31,11,Item damaged,245.14,0,1,1,0,approved,Legitimate,2025-09-03
RET000084,ORD000363,CUST00090,2024-06-16,1,Item damaged,16.14,0,1,1,0,approved,Legitimate,2024-06-19
RET000085,ORD000368,CUST00092,2024-11-23,1,Changed mind,113.33,0,1,1,0,approved,Legitimate,2024-11-26
RET000086,ORD000381,CUST00095,2025-06-09,2,Late delivery,147.73,0,1,0,0,rejected,Policy Abuser,2025-06-11
RET000087,ORD000386,CUST00096,2025-05-19,10,Found cheaper elsewhere,89.4,1,1,0,0,approved,Legitimate,2025-05-20
RET000088,ORD000387,CUST00096,2024-10-04,16,Changed mind,181.8,0,1,1,0,approved,Legitimate,2024-10-07
RET000089,ORD000388,CUST00096,2024-03-23,3,Late delivery,88.79,0,0,1,0,approved,Legitimate,2024-03-25
RET000090,ORD000389,CUST00096,2025-03-12,27,Not as described,176.72,1,1,0,0,approved,Legitimate,2025-03-14
RET000091,ORD000392,CUST00097,2024-07-31,14,No longer needed,101.96,0,1,1,0,approved,Legitimate,2024-08-03
RET000092,ORD000393,CUST00097,2025-07-22,4,Wrong size,182.93,0,1,0,0,approved,Legitimate,2025-07-24
RET000093,ORD000415,CUST00103,2024-06-06,1,Late delivery,382.8,1,1,1,0,approved,Legitimate,2024-06-08
RET000094,ORD000420,CUST00103,2025-02-16,10,Found cheaper elsewhere,200.28,1,0,1,0,rejected,Fraudulent Return,2025-02-20
RET000095,ORD000438,CUST00107,2025-07-05,1,Not as described,165.8,0,0,1,0,approved,Legitimate,2025-07-06
RET000096,ORD000441,CUST00108,2025-04-27,2,Wrong size,58.17,0,1,1,0,approved,Policy Abuser,2025-04-30
RET000097,ORD000443,CUST00108,2025-05-17,1,Item defective,125.14,1,0,1,0,approved,Policy Abuser,2025-05-18
RET000098,ORD000446,CUST00109,2025-04-30,3,Changed mind,115.43,0,1,1,0,rejected,Fraudulent Return,2025-05-01
RET000099,ORD000452,CUST00110,2024-08-15,4,No longer needed,139.97,0,1,0,0,approved,Legitimate,2024-08-17
RET000100,ORD000458,CUST00112,2025-05-08,13,Wrong size,98.07,1,1,0,0,rejected,Fraudulent Return,2025-05-11
RET000101,ORD000459,CUST00112,2024-04-11,7,Late delivery,43.31,1,0,0,0,rejected,Wardrobing,2024-04-14
RET000102,ORD000467,CUST00115,2025-01-08,2,Wrong size,249.84,1,0,1,0,approved,Legitimate,2025-01-11
RET000103,ORD000469,CUST00115,2024-04-26,5,No longer needed,120.76,1,0,1,0,approved,Legitimate,2024-04-27
RET000104,ORD000476,CUST00117,2025-02-01,1,Not as described,20.12,1,1,0,0,approved,Legitimate,2025-02-05
RET000105,ORD000480,CUST00117,2024-08-22,7,Item defective,91.87,1,1,1,0,rejected,Policy Abuser,2024-08-25
RET000106,ORD000482,CUST00117,2025-04-08,1,Late delivery,89.51,1,1,1,0,approved,Legitimate,2025-04-11
RET000107,ORD000483,CUST00117,2024-04-19,2,Found cheaper elsewhere,197.39,1,1,0,0,approved,Policy Abuser,2024-04-21
RET000108,ORD000490,CUST00119,2025-05-06,13,Changed mind,242.36,0,1,0,0,approved,Legitimate,2025-05-07
RET000109,ORD000491,CUST00119,2024-01-25,9,Changed mind,85.52,1,1,1,0,rejected,Policy Abuser,2024-01-29
RET000110,ORD000514,CUST00123,2024-10-21,5,Late delivery,253.29,0,1,1,0,approved,Legitimate,2024-10-22
RET000111,ORD000516,CUST00124,2025-01-24,21,Found cheaper elsewhere,234.06,1,1,1,0,approved,Legitimate,2025-01-28
RET000112,ORD000520,CUST00125,2024-09-21,10,Item defective,148.62,1,0,0,1,approved,Policy Abuser,2024-09-22
RET000113,ORD000521,CUST00125,2025-05-06,1,Found cheaper elsewhere,28.45,1,1,0,0,rejected,Policy Abuser,2025-05-08
RET000114,ORD000522,CUST00125,2025-05-08,1,Item damaged,185.52,1,0,0,1,approved,Wardrobing,2025-05-09
RET000115,ORD000523,CUST00125,2025-01-25,1,Item damaged,261.15,0,0,0,1,rejected,Policy Abuser,2025-01-29
RET000116,ORD000524,CUST00125,2024-03-27,6,Found cheaper elsewhere,237.85,1,1,0,0,rejected,Fraudulent Return,2024-03-31
RET000117,ORD000525,CUST00125,2024-09-03,16,Wrong size,190.59,1,0,0,0,rejected,Wardrobing,2024-09-04
RET000118,ORD000543,CUST00129,2024-10-28,9,Wrong size,98.15,0,1,1,0,approved,Legitimate,2024-10-29
RET000119,ORD000550,CUST00130,2025-07-17,5,Late delivery,5.46,1,1,0,0,approved,Policy Abuser,2025-07-18
RET000120,ORD000552,CUST00130,2025-07-10,9,Changed mind,127.51,0,1,1,0,rejected,Wardrobing,2025-07-12
RET000121,ORD000555,CUST00130,2024-06-15,5,Changed mind,205.44,0,1,0,0,approved,Legitimate,2024-06-19
RET000122,ORD000558,CUST00130,2024-05-04,2,Wrong size,184.43,0,1,1,0,approved,Legitimate,2024-05-08
RET000123,ORD000565,CUST00132,2025-03-29,1,Wrong size,318.87,1,0,1,1,rejected,Fraudulent Return,2025-04-02
RET000124,ORD000566,CUST00132,2025-03-01,3,Changed mind,70.92,1,0,0,0,approved,Wardrobing,2025-03-04
RET000125,ORD000569,CUST00132,2024-12-16,1,No longer needed,174.02,1,0,0,0,rejected,Fraudulent Return,2024-12-19
RET000126,ORD000571,CUST00132,2024-06-03,5,Late delivery,120.91,1,0,0,0,approved,Policy Abuser,2024-06-06
RET000127,ORD000573,CUST00133,2024-11-15,7,Changed mind,37.01,1,1,1,0,approved,Legitimate,2024-11-16
RET000128,ORD000575,CUST00133,2025-05-12,5,Changed mind,143.15,0,1,0,1,approved,Legitimate,2025-05-13
RET000129,ORD000578,CUST00133,2024-06-23,5,Wrong size,193.37,0,1,0,0,approved,Legitimate,2024-06-24
RET000130,ORD000580,CUST00133,2025-06-05,9,Wrong size,185.33,0,1,1,0,approved,Legitimate,2025-06-06
RET000131,ORD000583,CUST00134,2024-10-21,16,Wrong size,116.94,0,0,0,0,approved,Policy Abuser,2024-10-23
RET000132,ORD000586,CUST00134,2024-12-08,1,Changed mind,236.4,1,0,0,0,rejected,Fraudulent Return,2024-12-11
RET000133,ORD000587,CUST00134,2024-09-30,1,Changed mind,31.13,1,0,1,0,rejected,Fraudulent Return,2024-10-03
RET000134,ORD000588,CUST00134,2025-08-10,2,Found cheaper elsewhere,214.78,1,1,0,0,rejected,Policy Abuser,2025-08-14
RET000135,ORD000590,CUST00134,2024-12-04,5,Wrong size,91.27,1,0,0,1,rejected,Policy Abuser,2024-12-08
RET000136,ORD000591,CUST00134,2024-05-15,1,Wrong size,198.21,0,0,0,0,rejected,Fraudulent Return,2024-05-19
RET000137,ORD000592,CUST00134,2024-01-22,1,Wrong size,45.09,1,1,0,1,rejected,Fraudulent Return,2024-01-23
RET000138,ORD000593,CUST00135,2024-08-09,10,Wrong size,69.38,0,1,1,0,approved,Legitimate,2024-08-12
RET000139,ORD000595,CUST00135,2025-08-12,1,Late delivery,255.93,1,1,1,0,approved,Legitimate,2025-08-15
RET000140,ORD000597,CUST00135,2024-09-24,1,Wrong size,141.91,1,1,0,0,approved,Legitimate,2024-09-28
RET000141,ORD000598,CUST00135,2024-06-17,7,Changed mind,141.46,0,1,1,0,approved,Legitimate,2024-06-18
RET000142,ORD000599,CUST00135,2024-08-08,11,Late delivery,130.37,1,1,0,0,approved,Legitimate,2024-08-12
RET000143,ORD000601,CUST00136,2025-04-23,27,No longer needed,5.0,0,0,1,0,approved,Legitimate,2025-04-27
RET000144,ORD000607,CUST00137,2024-04-27,1,Not as described,124.62,0,1,1,0,approved,Legitimate,2024-05-01
RET000145,ORD000613,CUST00139,2025-03-21,5,Wrong size,87.79,0,1,1,0,rejected,Wardrobing,2025-03-23
RET000146,ORD000616,CUST00141,2024-10-27,14,Changed mind,102.62,0,1,1,0,approved,Legitimate,2024-10-31
RET000147,ORD000640,CUST00147,2025-08-19,5,Late delivery,171.29,1,1,1,0,approved,Legitimate,2025-08-20
RET000148,ORD000642,CUST00147,2025-05-18,1,Not as described,119.93,0,0,1,0,approved,Policy Abuser,2025-05-19
RET000149,ORD000643,CUST00147,2024-09-04,7,Item defective,165.32,0,1,0,0,approved,Legitimate,2024-09-06
RET000150,ORD000644,CUST00147,2024-11-14,5,Item defective,258.02,1,1,1,1,approved,Legitimate,2024-11-15
RET000151,ORD000648,CUST00148,2024-06-11,17,Late delivery,208.49,1,1,1,0,approved,Legitimate,2024-06-13
RET000152,ORD000668,CUST00154,2025-04-06,15,No longer needed,285.97,0,0,1,0,approved,Legitimate,2025-04-07
RET000153,ORD000670,CUST00154,2024-04-27,2,Item damaged,244.28,0,0,0,0,rejected,Policy Abuser,2024-04-29
RET000154,ORD000673,CUST00155,2025-03-24,21,Wrong size,5.0,1,1,1,0,approved,Legitimate,2025-03-27
RET000155,ORD000685,CUST00158,2024-11-02,6,Changed mind,38.01,0,1,1,0,approved,Policy Abuser,2024-11-05
RET000156,ORD000689,CUST00159,2025-03-23,5,Not as described,74.48,0,0,1,0,approved,Legitimate,2025-03-25
RET000157,ORD000691,CUST00159,2024-05-05,7,Changed mind,105.95,0,1,1,0,approved,Legitimate,2024-05-09
RET000158,ORD000694,CUST00159,2024-09-23,3,Changed mind,160.01,0,0,1,0,rejected,Wardrobing,2024-09-25
RET000159,ORD000695,CUST00160,2024-03-30,1,Item defective,119.93,0,1,1,0,approved,Legitimate,2024-04-03
RET000160,ORD000701,CUST00160,2024-01-26,3,Item damaged,108.34,1,1,1,0,approved,Legitimate,2024-01-27
RET000161,ORD000703,CUST00161,2024-03-28,4,No longer needed,171.38,0,1,1,0,approved,Legitimate,2024-04-01
RET000162,ORD000704,CUST00161,2024-02-29,11,Item damaged,165.33,0,1,0,0,approved,Legitimate,2024-03-01
RET000163,ORD000705,CUST00161,2024-11-02,3,Wrong size,124.79,1,1,1,0,rejected,Policy Abuser,2024-11-04
RET000164,ORD000708,CUST00161,2024-10-23,1,Late delivery,155.03,0,1,1,0,approved,Legitimate,2024-10-26
RET000165,ORD000720,CUST00164,2025-06-09,3,Changed mind,44.15,0,1,1,0,approved,Legitimate,2025-06-10
RET000166,ORD000730,CUST00166,2024-07-23,1,Late delivery,136.7,1,1,1,0,approved,Legitimate,2024-07-24
RET000167,ORD000740,CUST00169,2025-05-12,14,Not as described,237.83,0,0,0,0,approved,Fraudulent Return,2025-05-15
RET000168,ORD000741,CUST00169,2025-03-29,8,Changed mind,248.0,0,0,0,1,approved,Policy Abuser,2025-03-31
RET000169,ORD000742,CUST00169,2024-06-19,2,Item damaged,119.29,1,1,0,1,rejected,Fraudulent Return,2024-06-22
RET000170,ORD000743,CUST00169,2025-04-13,1,Found cheaper elsewhere,38.78,0,0,0,1,approved,Policy Abuser,2025-04-17
RET000171,ORD000744,CUST00169,2024-07-26,3,Found cheaper elsewhere,40.59,1,1,0,0,rejected,Wardrobing,2024-07-29
RET000172,ORD000745,CUST00169,2024-06-28,1,Item damaged,177.16,0,1,0,0,rejected,Fraudulent Return,2024-06-30
RET000173,ORD000746,CUST00169,2024-06-07,1,Item defective,217.25,1,1,1,1,rejected,Fraudulent Return,2024-06-09
RET000174,ORD000748,CUST00169,2024-11-29,3,Item damaged,209.56,0,1,0,1,rejected,Policy Abuser,2024-12-01
RET000175,ORD000749,CUST00169,2024-04-24,10,Not as described,81.72,0,0,0,0,rejected,Fraudulent Return,2024-04-28
RET000176,ORD000750,CUST00170,2024-01-09,5,Item defective,64.56,1,0,0,0,approved,Wardrobing,2024-01-13
RET000177,ORD000755,CUST00170,2024-03-13,2,Wrong size,10.34,1,1,1,0,approved,Legitimate,2024-03-15
RET000178,ORD000758,CUST00171,2024-12-20,12,Changed mind,120.15,1,0,0,0,rejected,Fraudulent Return,2024-12-21
RET000179,ORD000759,CUST00171,2024-06-06,6,Found cheaper elsewhere,99.77,0,1,1,0,rejected,Wardrobing,2024-06-10
RET000180,ORD000760,CUST00171,2024-02-01,11,No longer needed,100.78,1,0,0,0,approved,Fraudulent Return,2024-02-04
RET000181,ORD000763,CUST00172,2024-04-26,16,Item defective,97.38,1,1,0,1,rejected,Policy Abuser,2024-04-28
RET000182,ORD000764,CUST00172,2025-04-05,11,Item defective,104.37,1,1,0,0,rejected,Fraudulent Return,2025-04-09
RET000183,ORD000765,CUST00172,2025-04-04,24,Not as described,189.98,1,1,0,0,rejected,Fraudulent Return,2025-04-07
RET000184,ORD000766,CUST00172,2025-01-11,3,Not as described,5.0,1,1,0,0,approved,Policy Abuser,2025-01-14
RET000185,ORD000767,CUST00172,2024-10-01,12,No longer needed,151.34,0,0,0,0,approved,Legitimate,2024-10-04
RET000186,ORD000768,CUST00172,2025-08-05,3,Item damaged,105.04,1,0,1,0,rejected,Wardrobing,2025-08-09
RET000187,ORD000786,CUST00178,2024-04-17,1,Item defective,64.1,0,1,1,0,approved,Legitimate,2024-04-20
RET000188,ORD000787,CUST00178,2024-05-01,7,Late delivery,213.37,0,1,1,0,approved,Legitimate,2024-05-04
RET000189,ORD000790,CUST00179,2024-04-18,1,Changed mind,116.03,1,0,1,0,approved,Legitimate,2024-04-20
RET000190,ORD000791,CUST00179,2024-09-14,12,Wrong size,198.39,1,1,1,0,approved,Legitimate,2024-09-17
RET000191,ORD000794,CUST00180,2025-05-18,1,Item damaged,130.59,1,1,1,0,approved,Legitimate,2025-05-21
RET000192,ORD000805,CUST00183,2024-08-08,2,Not as described,184.5,0,0,0,0,approved,Legitimate,2024-08-09
RET000193,ORD000807,CUST00183,2024-11-05,3,Found cheaper elsewhere,5.0,0,0,1,0,approved,Legitimate,2024-11-06
RET000194,ORD000811,CUST00184,2024-02-09,6,Not as described,149.39,1,1,1,0,rejected,Wardrobing,2024-02-12
RET000195,ORD000814,CUST00184,2025-09-07,19,No longer needed,226.32,1,1,1,0,approved,Legitimate,2025-09-11
RET000196,ORD000817,CUST00184,2024-06-13,10,Item damaged,227.17,0,1,1,0,approved,Legitimate,2024-06-15
RET000197,ORD000818,CUST00184,2024-11-23,1,Changed mind,98.39,1,1,1,0,approved,Legitimate,2024-11-26
RET000198,ORD000836,CUST00189,2025-01-19,5,Found cheaper elsewhere,143.99,0,1,1,0,approved,Legitimate,2025-01-22
RET000199,ORD000845,CUST00190,2025-02-21,9,Not as described,33.28,0,1,1,0,approved,Legitimate,2025-02-24
RET000200,ORD000850,CUST00191,2025-04-28,1,Wrong size,139.68,1,1,1,0,approved,Legitimate,2025-04-29
RET000201,ORD000854,CUST00193,2025-07-24,3,Found cheaper elsewhere,81.37,1,0,0,0,approved,Legitimate,2025-07-26
RET000202,ORD000856,CUST00193,2025-04-15,5,Item defective,181.52,0,1,1,0,approved,Legitimate,2025-04-17
RET000203,ORD000860,CUST00193,2025-06-14,1,Not as described,74.66,1,1,0,0,approved,Legitimate,2025-06-17
RET000204,ORD000873,CUST00195,2024-02-20,2,Not as described,226.83,1,1,1,0,approved,Legitimate,2024-02-24
RET000205,ORD000890,CUST00199,2025-05-30,2,Item damaged,180.54,0,1,1,0,approved,Legitimate,2025-06-01
RET000206,ORD000896,CUST00200,2025-05-19,10,Changed mind,285.88,0,1,1,0,approved,Policy Abuser,2025-05-20
RET000207,ORD000909,CUST00203,2024-10-27,5,Not as described,127.1,0,1,1,0,approved,Legitimate,2024-10-29
RET000208,ORD000912,CUST00204,2025-08-13,30,Not as described,145.28,0,0,1,0,approved,Legitimate,2025-08-16
RET000209,ORD000916,CUST00205,2025-08-29,13,Changed mind,158.52,0,1,1,0,approved,Legitimate,2025-09-02
RET000210,ORD000921,CUST00205,2024-07-22,2,Item defective,198.89,0,1,1,0,approved,Legitimate,2024-07-25
RET000211,ORD000946,CUST00212,2025-05-22,30,No longer needed,44.41,0,1,1,0,approved,Legitimate,2025-05-25
RET000212,ORD000952,CUST00213,2024-09-01,7,Found cheaper elsewhere,143.9,0,1,1,0,approved,Legitimate,2024-09-02
RET000213,ORD000963,CUST00216,2024-11-21,7,No longer needed,164.71,1,0,0,0,rejected,Fraudulent Return,2024-11-23
RET000214,ORD000964,CUST00216,2024-02-11,19,Wrong size,74.69,1,1,1,0,rejected,Policy Abuser,2024-02-14
RET000215,ORD000965,CUST00216,2024-08-09,7,Item damaged,84.63,1,0,0,0,rejected,Fraudulent Return,2024-08-12
RET000216,ORD000967,CUST00216,2024-12-04,5,Changed mind,135.58,1,0,0,0,rejected,Fraudulent Return,2024-12-05
RET000217,ORD000968,CUST00216,2025-07-14,4,Item defective,117.05,1,1,0,0,approved,Policy Abuser,2025-07-16
RET000218,ORD000971,CUST00217,2024-02-29,1,Item defective,155.86,0,1,1,0,approved,Legitimate,2024-03-03
RET000219,ORD000975,CUST00217,2025-04-05,1,Item damaged,128.58,0,1,1,0,approved,Legitimate,2025-04-08
RET000220,ORD000985,CUST00219,2024-02-14,3,Wrong size,249.28,0,1,1,0,approved,Policy Abuser,2024-02-16
RET000221,ORD000999,CUST00223,2025-02-04,1,No longer needed,32.14,0,0,1,0,approved,Legitimate,2025-02-05
RET000222,ORD001001,CUST00223,2025-04-09,6,Wrong size,177.45,1,0,1,0,approved,Wardrobing,2025-04-11
RET000223,ORD001021,CUST00228,2024-01-16,1,Changed mind,98.9,0,1,0,0,approved,Legitimate,2024-01-20
